program	rlength	damage	collapsed	seqtype	per_base_sequence_content	overrepresented_sequences	adapter_content
adapterremoval	long	heavy	TRUE	SE	pass	pass	pass
adapterremoval	long	heavy	TRUE	SE	pass	pass	pass
adapterremoval	long	heavy	TRUE	PE	pass	pass	pass
adapterremoval	long	heavy	TRUE	PE	pass	pass	pass
adapterremoval	long	heavy	FALSE	PE	pass	pass	pass
adapterremoval	long	heavy	FALSE	PE	pass	pass	pass
adapterremoval	long	light	TRUE	SE	pass	pass	pass
adapterremoval	long	light	TRUE	SE	pass	pass	pass
adapterremoval	long	light	TRUE	PE	pass	pass	pass
adapterremoval	long	light	TRUE	PE	pass	pass	pass
adapterremoval	long	light	FALSE	PE	pass	pass	pass
adapterremoval	long	light	FALSE	PE	pass	pass	pass
adapterremoval	long	none	TRUE	SE	pass	pass	pass
adapterremoval	long	none	TRUE	SE	pass	pass	pass
adapterremoval	long	none	TRUE	PE	pass	pass	pass
adapterremoval	long	none	TRUE	PE	pass	pass	pass
adapterremoval	long	none	FALSE	PE	pass	pass	pass
adapterremoval	long	none	FALSE	PE	pass	pass	pass
adapterremoval	medium	heavy	TRUE	SE	pass	pass	pass
adapterremoval	medium	heavy	TRUE	SE	pass	pass	pass
adapterremoval	medium	heavy	TRUE	PE	pass	pass	warn
adapterremoval	medium	heavy	TRUE	PE	pass	pass	pass
adapterremoval	medium	heavy	FALSE	PE	pass	pass	pass
adapterremoval	medium	heavy	FALSE	PE	pass	pass	pass
adapterremoval	medium	light	TRUE	SE	pass	pass	pass
adapterremoval	medium	light	TRUE	SE	pass	pass	pass
adapterremoval	medium	light	TRUE	PE	pass	pass	warn
adapterremoval	medium	light	TRUE	PE	pass	pass	pass
adapterremoval	medium	light	FALSE	PE	pass	pass	pass
adapterremoval	medium	light	FALSE	PE	pass	pass	pass
adapterremoval	medium	none	TRUE	SE	pass	pass	pass
adapterremoval	medium	none	TRUE	SE	pass	pass	pass
adapterremoval	medium	none	TRUE	PE	pass	pass	warn
adapterremoval	medium	none	TRUE	PE	pass	pass	pass
adapterremoval	medium	none	FALSE	PE	pass	pass	pass
adapterremoval	medium	none	FALSE	PE	pass	pass	pass
adapterremoval	short	heavy	TRUE	SE	fail	pass	pass
adapterremoval	short	heavy	TRUE	SE	fail	pass	pass
adapterremoval	short	heavy	TRUE	PE	fail	pass	fail
adapterremoval	short	heavy	TRUE	PE	fail	pass	pass
adapterremoval	short	heavy	FALSE	PE	fail	pass	pass
adapterremoval	short	heavy	FALSE	PE	warn	pass	pass
adapterremoval	short	light	TRUE	SE	fail	pass	pass
adapterremoval	short	light	TRUE	SE	fail	pass	pass
adapterremoval	short	light	TRUE	PE	fail	pass	fail
adapterremoval	short	light	TRUE	PE	fail	pass	pass
adapterremoval	short	light	FALSE	PE	fail	pass	pass
adapterremoval	short	light	FALSE	PE	warn	pass	pass
adapterremoval	short	none	TRUE	SE	fail	pass	pass
adapterremoval	short	none	TRUE	SE	fail	pass	pass
adapterremoval	short	none	TRUE	PE	fail	pass	fail
adapterremoval	short	none	TRUE	PE	fail	pass	pass
adapterremoval	short	none	FALSE	PE	fail	pass	pass
adapterremoval	short	none	FALSE	PE	warn	pass	pass
leeHOM	long	heavy	TRUE	SE	pass	pass	pass
leeHOM	long	heavy	TRUE	PE	pass	pass	pass
leeHOM	long	heavy	TRUE	PE	pass	pass	pass
leeHOM	long	heavy	FALSE	SE	pass	pass	pass
leeHOM	long	heavy	FALSE	PE	pass	pass	pass
leeHOM	long	heavy	FALSE	PE	pass	pass	pass
leeHOM	long	light	TRUE	SE	pass	pass	pass
leeHOM	long	light	TRUE	PE	pass	pass	pass
leeHOM	long	light	TRUE	PE	pass	pass	pass
leeHOM	long	light	FALSE	SE	pass	pass	pass
leeHOM	long	light	FALSE	PE	pass	pass	pass
leeHOM	long	light	FALSE	PE	pass	pass	pass
leeHOM	long	none	TRUE	SE	pass	pass	pass
leeHOM	long	none	TRUE	PE	pass	pass	pass
leeHOM	long	none	TRUE	PE	pass	pass	pass
leeHOM	long	none	FALSE	SE	pass	pass	pass
leeHOM	long	none	FALSE	PE	pass	pass	pass
leeHOM	long	none	FALSE	PE	pass	pass	pass
leeHOM	medium	heavy	TRUE	SE	pass	pass	pass
leeHOM	medium	heavy	TRUE	PE	pass	pass	warn
leeHOM	medium	heavy	TRUE	PE	pass	pass	pass
leeHOM	medium	heavy	FALSE	SE	pass	pass	pass
leeHOM	medium	heavy	FALSE	PE	pass	pass	pass
leeHOM	medium	heavy	FALSE	PE	pass	pass	pass
leeHOM	medium	light	TRUE	SE	pass	pass	pass
leeHOM	medium	light	TRUE	PE	pass	pass	warn
leeHOM	medium	light	TRUE	PE	pass	pass	pass
leeHOM	medium	light	FALSE	SE	pass	pass	pass
leeHOM	medium	light	FALSE	PE	pass	pass	pass
leeHOM	medium	light	FALSE	PE	pass	pass	pass
leeHOM	medium	none	TRUE	SE	pass	pass	pass
leeHOM	medium	none	TRUE	PE	pass	pass	warn
leeHOM	medium	none	TRUE	PE	pass	pass	pass
leeHOM	medium	none	FALSE	SE	pass	pass	pass
leeHOM	medium	none	FALSE	PE	pass	pass	pass
leeHOM	medium	none	FALSE	PE	pass	pass	pass
leeHOM	short	heavy	TRUE	SE	fail	pass	pass
leeHOM	short	heavy	TRUE	PE	fail	pass	fail
leeHOM	short	heavy	TRUE	PE	fail	pass	pass
leeHOM	short	heavy	FALSE	SE	pass	pass	pass
leeHOM	short	heavy	FALSE	PE	fail	pass	fail
leeHOM	short	heavy	FALSE	PE	fail	pass	pass
leeHOM	short	light	TRUE	SE	fail	pass	pass
leeHOM	short	light	TRUE	PE	fail	pass	fail
leeHOM	short	light	TRUE	PE	fail	pass	pass
leeHOM	short	light	FALSE	SE	pass	pass	pass
leeHOM	short	light	FALSE	PE	fail	pass	fail
leeHOM	short	light	FALSE	PE	fail	pass	pass
leeHOM	short	none	TRUE	SE	fail	pass	pass
leeHOM	short	none	TRUE	PE	fail	pass	fail
leeHOM	short	none	TRUE	PE	fail	pass	pass
leeHOM	short	none	FALSE	SE	pass	pass	pass
leeHOM	short	none	FALSE	PE	fail	pass	fail
leeHOM	short	none	FALSE	PE	fail	pass	pass
fastp	long	heavy	TRUE	PE	pass	pass	pass
fastp	long	heavy	TRUE	PE	pass	pass	pass
fastp	long	heavy	TRUE	SE	pass	pass	pass
fastp	long	heavy	FALSE	PE	pass	pass	pass
fastp	long	heavy	FALSE	PE	pass	pass	pass
fastp	long	light	TRUE	PE	pass	pass	pass
fastp	long	light	TRUE	PE	pass	pass	pass
fastp	long	light	TRUE	SE	pass	pass	pass
fastp	long	light	FALSE	PE	pass	pass	pass
fastp	long	light	FALSE	PE	pass	pass	pass
fastp	long	none	TRUE	PE	pass	pass	pass
fastp	long	none	TRUE	PE	pass	pass	pass
fastp	long	none	TRUE	SE	pass	pass	pass
fastp	long	none	FALSE	PE	pass	pass	pass
fastp	long	none	FALSE	PE	pass	pass	pass
fastp	medium	heavy	TRUE	PE	pass	pass	pass
fastp	medium	heavy	TRUE	PE	pass	pass	pass
fastp	medium	heavy	TRUE	SE	pass	pass	pass
fastp	medium	heavy	FALSE	PE	pass	pass	pass
fastp	medium	heavy	FALSE	PE	pass	pass	pass
fastp	medium	light	TRUE	PE	pass	pass	pass
fastp	medium	light	TRUE	PE	pass	pass	pass
fastp	medium	light	TRUE	SE	pass	pass	pass
fastp	medium	light	FALSE	PE	pass	pass	pass
fastp	medium	light	FALSE	PE	pass	pass	pass
fastp	medium	none	TRUE	PE	pass	pass	pass
fastp	medium	none	TRUE	PE	pass	pass	pass
fastp	medium	none	TRUE	SE	pass	pass	pass
fastp	medium	none	FALSE	PE	pass	pass	pass
fastp	medium	none	FALSE	PE	pass	pass	pass
fastp	short	heavy	TRUE	PE	fail	pass	pass
fastp	short	heavy	TRUE	PE	warn	pass	pass
fastp	short	heavy	TRUE	SE	fail	pass	pass
fastp	short	heavy	FALSE	PE	fail	pass	pass
fastp	short	heavy	FALSE	PE	warn	pass	pass
fastp	short	light	TRUE	PE	fail	pass	pass
fastp	short	light	TRUE	PE	fail	pass	pass
fastp	short	light	TRUE	SE	fail	pass	pass
fastp	short	light	FALSE	PE	fail	pass	pass
fastp	short	light	FALSE	PE	fail	pass	pass
fastp	short	none	TRUE	PE	fail	pass	pass
fastp	short	none	TRUE	PE	warn	pass	pass
fastp	short	none	TRUE	SE	fail	pass	pass
fastp	short	none	FALSE	PE	fail	pass	pass
fastp	short	none	FALSE	PE	warn	pass	pass
